Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
CatBoost Classifier,0.8616,0.8571,0.4818,0.7516,0.586,0.5077,0.5265,3.769
Gradient Boosting Classifier,0.8621,0.8618,0.465,0.7693,0.5787,0.5023,0.5255,0.122
Random Forest Classifier,0.8584,0.843,0.4432,0.7638,0.5605,0.4831,0.5088,0.127
Ada Boost Classifier,0.8531,0.8429,0.4552,0.7238,0.5578,0.4753,0.4942,0.049
Extreme Gradient Boosting,0.8471,0.8283,0.4812,0.6759,0.5614,0.4721,0.4825,0.073
Extra Trees Classifier,0.8501,0.838,0.4208,0.7298,0.5333,0.4517,0.4763,0.098
Quadratic Discriminant Analysis,0.8246,0.8055,0.3878,0.6118,0.4743,0.3752,0.3895,0.006
Decision Tree Classifier,0.7863,0.6746,0.486,0.4761,0.4806,0.3462,0.3465,0.01
Linear Discriminant Analysis,0.8106,0.7726,0.2504,0.5837,0.349,0.2587,0.2911,0.009
Ridge Classifier,0.8079,0.0,0.1346,0.6354,0.2215,0.162,0.2269,0.008
Naive Bayes,0.7873,0.7486,0.1003,0.4154,0.1606,0.088,0.1183,0.007
Logistic Regression,0.7911,0.6813,0.0743,0.4283,0.1261,0.0704,0.1063,0.523
K Neighbors Classifier,0.7606,0.5286,0.0806,0.2403,0.1204,0.0201,0.0243,0.193
Dummy Classifier,0.7963,0.5,0.0,0.0,0.0,0.0,0.0,0.007
SVM - Linear Kernel,0.7487,0.0,0.054,0.0562,0.0412,-0.0152,-0.0158,0.016
